cod,mpio_name,ADO|EU/LWAL+DNO/H:1,ADO|EU/LWAL+DNO/H:2,CR+PC/LWAL+DUL/H:1,CR+PC/LWAL+DUL/H:2,CR/LFINF+DUL/H:3,CR/LFINF+DUL/H:4,CR/LFINF+DUL/H:5,"CR/LFINF+DUL/H:6,10",CR/LWAL+DUL/H:1,CR/LWAL+DUL/H:2,MATO/LN,MCF/LWAL+DUL/H:1,MCF/LWAL+DUL/H:2,MCF/LWAL+DUL/H:3,MR/LWAL+DUL/H:2,MR/LWAL+DUL/H:3,MUR+ST/LWAL+DNO/H:1,MUR+ST/LWAL+DNO/H:2,MUR/LWAL+DNO/H:1,MUR/LWAL+DNO/H:2,MUR/LWAL+DNO/H:3,UNK,W+WO/LN+DNO/H:1,W+WO/LN+DNO/H:2,CR/LWAL+DUL/H:3,CR/LWAL+DUL/H:4,CR/LWAL+DUL/H:5,MR/LWAL+DUL/H:4,MR/LWAL+DUL/H:5,MR/LWAL+DUL/H:6,CR/LFINF+DUH/H:3,CR/LFINF+DUH/H:4,CR/LFINF+DUH/H:5,"CR/LFINF+DUH/H:6,10",CR/LWAL+DUH/H:1,CR/LWAL+DUH/H:2,CR/LWAL+DUH/H:3,CR/LWAL+DUH/H:4,CR/LWAL+DUH/H:5,MCF/LWAL+DUH/H:1,MCF/LWAL+DUH/H:2,MCF/LWAL+DUH/H:3,MR/LWAL+DUH/H:2,MR/LWAL+DUH/H:3,MR/LWAL+DUH/H:4,MR/LWAL+DUH/H:5,MR/LWAL+DUH/H:6,CR/LFINF+DUM/H:3,CR/LFINF+DUM/H:4,CR/LFINF+DUM/H:5,"CR/LFINF+DUM/H:6,10",CR/LWAL+DUM/H:1,CR/LWAL+DUM/H:2,CR/LWAL+DUM/H:3,CR/LWAL+DUM/H:4,CR/LWAL+DUM/H:5,"CR/LWAL+DUM/H:6,10",MCF/LWAL+DUM/H:1,MCF/LWAL+DUM/H:2,MCF/LWAL+DUM/H:3,MR/LWAL+DUM/H:2,MR/LWAL+DUM/H:3,MR/LWAL+DUM/H:4,MR/LWAL+DUM/H:5,MR/LWAL+DUM/H:6,"CR/LWAL+DUH/H:6,10","CR/LWAL+DUL/H:6,10"
5113,Buritica,192,78,3,1,0,0,0,0,2,1,0,14,6,0,0,0,5,2,135,58,0,77,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5120,Caceres,7,2,6,2,0,0,0,0,3,2,103,114,49,0,0,0,121,45,1922,768,0,814,791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5125,Caicedo,153,63,3,1,0,0,0,0,2,1,1,11,5,0,0,0,4,2,102,43,0,78,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5129,Caldas,394,166,53,22,0,988,988,847,0,0,12,318,255,62,0,0,35,15,1445,1142,286,383,93,1,0,0,0,0,0,0,0,185,185,159,26,20,7,93,93,437,349,87,3,3,62,62,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0
5134,Campamento,141,59,1,0,0,0,0,0,2,1,1,22,10,0,0,0,11,5,251,106,0,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5138,Canasgordas,59,24,1,1,0,0,0,0,3,1,4,44,19,0,0,0,27,12,580,244,0,193,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5142,Caracoli,4,2,0,0,0,0,0,0,12,6,0,48,20,0,0,0,12,6,262,112,0,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5145,Caramanta,288,86,9,4,0,0,0,0,4,2,1,21,9,0,0,0,9,3,171,68,0,169,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5147,Carepa,6,2,10,4,220,92,55,0,34,9,12,786,343,0,0,0,82,32,4405,1857,0,1142,1022,3,26,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5148,El Carmen de Viboral,70,29,7,3,195,81,49,0,11,3,0,586,253,0,0,0,9,4,3200,1369,0,542,3,1,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5150,Carolina,294,121,2,1,0,0,0,0,3,2,1,26,11,0,0,0,10,5,261,112,0,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5154,Caucasia,12,3,21,7,825,550,275,0,0,0,138,384,153,12,0,0,183,48,6521,2413,234,2225,2102,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,137,69,0,70,30,149,99,50,0,1648,644,62,0,0,0,0,0,0,0
5172,Chigorodo,20,8,34,14,0,544,545,0,0,0,16,359,287,72,0,0,161,63,3179,2431,608,1175,778,2,0,0,0,0,0,0,0,136,136,0,14,11,3,41,41,870,696,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5190,Cisneros,173,74,2,1,0,0,0,0,5,2,1,58,24,0,0,0,25,12,631,270,0,173,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5197,Cocorna,10,5,0,0,0,0,0,0,62,31,0,209,85,0,0,0,32,16,780,332,0,482,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5206,Concepcion,158,63,1,0,0,0,0,0,0,0,0,15,6,0,0,0,7,3,183,78,0,207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5209,Concordia,187,46,9,4,0,0,0,0,2,1,4,68,29,0,0,0,42,19,935,393,0,191,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
